model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
KNN,0.25117591721542804,0.2303165245471349,0.25117591721542804,0.23060644211699774,0.193410048186875
Decision Tree,0.22502351834430856,0.22810988391067183,0.22502351834430856,0.22635939488128123,0.20349310554392702
Random Forest,0.2889934148635936,0.22475367416039785,0.2889934148635936,0.21702073047083936,0.15777710950015975
Naive Bayes,0.3046095954844779,0.21073295071000805,0.3046095954844779,0.16650534699865488,0.11214953345134682
